id,value,feed_id,created_at,lat,lon,ele
0FD34D9138PKJTAJNSFWMXKRHS,33,2497174,2023-09-09 15:07:18 ,,,
0FD34DDYJBXKMERXH2P2QEMEBA,33,2497174,2023-09-09 15:07:34 ,,,
0FD34DKG5A3WAV38SZW1YEN14X,33,2497174,2023-09-09 15:07:52 ,,,
0FD34DP8A0WW5C4Q7JX4TR5TWQ,33,2497174,2023-09-09 15:08:01 ,,,
0FD34DV5D04B3APXWFED6M09ZJ,33,2497174,2023-09-09 15:08:18 ,,,
0FD34E02PJ29RC06E8Z3BR711S,33,2497174,2023-09-09 15:08:34 ,,,
0FD34E50TBYMY1H5KM5FAZKJCN,33,2497174,2023-09-09 15:08:50 ,,,
0FD34E8CP2A6J2810TJ50Q7C9E,33,2497174,2023-09-09 15:09:01 ,,,
0FD34ED9WVJT7FSXX13S4D66RT,33,2497174,2023-09-09 15:09:17 ,,,
0FD34EJ74SHXPMV0FXMG2SKKFN,33,2497174,2023-09-09 15:09:33 ,,,
0FD34EQ4QTNP07KMA4SYSE28BX,33,2497174,2023-09-09 15:09:49 ,,,
0FD34EW2JZ12WSWYDYHQ93KZ43,33,2497174,2023-09-09 15:10:05 ,,,
0FD34EZEST187FPDZCJQ4AZ8WV,33,2497174,2023-09-09 15:10:16 ,,,
0FD34F4CBH5HEWP314W08E7E49,33,2497174,2023-09-09 15:10:33 ,,,
0FD34F9A5A2Q9HQ6TN1M8H961R,33,2497174,2023-09-09 15:10:49 ,,,
0FD34FE7R9XTFB7XHZKYNQHFK8,33,2497174,2023-09-09 15:11:05 ,,,
0FD34FHM78TWNSVN1CFAF54S63,33,2497174,2023-09-09 15:11:16 ,,,
0FD34FPJ2FTK6BTD4YGX8X1WMH,33,2497174,2023-09-09 15:11:32 ,,,
0FD34FVFW9BSN8DR6AV44MJ7Z9,33,2497174,2023-09-09 15:11:48 ,,,
0FD34G0D0YSQQ92K7T42P7N43W,33,2497174,2023-09-09 15:12:04 ,,,
0FD34G5A80J06WHPV3AYJ4S744,33,2497174,2023-09-09 15:12:21 ,,,
0FD34G8PBEMCKHCTHQR2X16MHQ,33,2497174,2023-09-09 15:12:32 ,,,
0FD34GDKJZQQTWMRGWPJYEQYW9,33,2497174,2023-09-09 15:12:48 ,,,
0FD34GJGQJ94VBSFK4B7K4YN7J,33,2497174,2023-09-09 15:13:04 ,,,
0FD34GQDZ85AH85R2RXNA15MR5,33,2497174,2023-09-09 15:13:20 ,,,
0FD34GWB93Z1PW68GA74HT74CB,33,2497174,2023-09-09 15:13:36 ,,,
0FD34H0CDBKRHFT05SAYC0VKFA,33,2497174,2023-09-09 15:13:49 ,,,
0FD34H4N7MKR5K7WFZ2VTRM1R1,33,2497174,2023-09-09 15:14:03 ,,,
0FD34H9JFRHMBEG1VRW843RMRZ,33,2497174,2023-09-09 15:14:19 ,,,
0FD34HEFCDX2QG8H29JMB4RT6S,33,2497174,2023-09-09 15:14:35 ,,,
0FD34HHVV4AEQVBWMCWEEMFYCT,33,2497174,2023-09-09 15:14:46 ,,,
0FD34HPSBWNE1XWYFYM28TAEAC,33,2497174,2023-09-09 15:15:03 ,,,
0FD34HVQ28RWQ44YPNWX5JN2DY,33,2497174,2023-09-09 15:15:19 ,,,
0FD34J0N339B2MJSWKPW127D4Z,33,2497174,2023-09-09 15:15:35 ,,,
0FD34J5J2PNWB6DWFD02S830CN,33,2497174,2023-09-09 15:15:51 ,,,
0FD34J8Y65J0NCJ0M13PJHX0S9,33,2497174,2023-09-09 15:16:02 ,,,
0FD34JDVG6NTHYH1RTKRRH6AP1,33,2497174,2023-09-09 15:16:18 ,,,
0FD34JJRS3BE08QPV047AC31JZ,33,2497174,2023-09-09 15:16:34 ,,,
0FD34JQNZM2Y4K597H248W7F3T,33,2497174,2023-09-09 15:16:50 ,,,
0FD34JV21966N2VCRX04F27DC2,33,2497174,2023-09-09 15:17:01 ,,,
0FD34JZZ8ZBGMV1S3HXEAPXJW6,33,2497174,2023-09-09 15:17:18 ,,,
0FD34K4WPF282KKPQ0QY5YJZ18,33,2497174,2023-09-09 15:17:34 ,,,
0FD34K9THBKAABYGSXZ217EQYH,33,2497174,2023-09-09 15:17:50 ,,,
0FD34KEQ318ACGT8RQ6ZKP85BE,33,2497174,2023-09-09 15:18:06 ,,,
0FD34KJ3AA0XHTWZ7GF4H70AWR,33,2497174,2023-09-09 15:18:17 ,,,
0FD34KQ09TJAQPNSXWTZMXFW3W,33,2497174,2023-09-09 15:18:33 ,,,
0FD34KVY22XHVSEY1J3MAE0C00,33,2497174,2023-09-09 15:18:49 ,,,
0FD34M0TX1YNH0T2JN7XBTES82,33,2497174,2023-09-09 15:19:05 ,,,
0FD34M5R2GM12N6WCVAST15RKD,33,2497174,2023-09-09 15:19:21 ,,,
0FD34M942QSZS4PP54QKGVCPWH,33,2497174,2023-09-09 15:19:32 ,,,
0FD34ME1AY8WCATTFT95RM79Z6,33,2497174,2023-09-09 15:19:49 ,,,
0FD34MJYK9TSABE1NK8V3FT5HV,32,2497174,2023-09-09 15:20:05 ,,,
0FD34MQVRXC7HXB3ZEMARCJJS3,32,2497174,2023-09-09 15:20:21 ,,,
